Source,Name,Poster URL,D-Day,View Count
CampusPick Contest,2024-2025년 제 3회 광주시 로컬 창업 아이디어 공모전,https://cf-cpi.campuspick.com/activity/1733452289173632_thumb.jpg,D-10,1089
CampusPick Contest,오븐마루치킨 브랜딩 공모전 OMBF,https://cf-cpi.campuspick.com/activity/1734338419463419_thumb.jpg,D-51,1174
CampusPick Contest,제1회 부천시 관광기념품 공모전,https://cf-cpi.campuspick.com/activity/1732177104902878_thumb.jpg,D-56,1824
CampusPick Contest,2024 「디자인」 논문 공모전,https://cf-cpi.campuspick.com/activity/1732515567968260_thumb.jpg,D-67,1614
CampusPick Contest,제 5 회 포스텍 SF 어워드 공모전,https://cf-cpi.campuspick.com/activity/1733293885473606_thumb.jpg,D-16,1796
CampusPick Activity,2025년 DB김준기 문화재단 장학생 <DB드림리더>모집,https://cf-cpi.campuspick.com/activity/1734605246455686_thumb.jpg,D-14,1451
CampusPick Activity,2025 교육부 국민 서포터즈 누리울림 모집,https://cf-cpi.campuspick.com/activity/1733880321353121_thumb.jpg,D-2,3459
CampusPick Activity,2025. 청년 서포터즈 『이음』 단원 모집,https://cf-cpi.campuspick.com/activity/1733896618799557_thumb.jpg,D-63,1005
CampusPick Activity,[HP] Z by HP 워크스테이션 대학생 동아리 체험단 모집,https://cf-cpi.campuspick.com/activity/1734408547082114_thumb.jpg,D-9,1671
CampusPick Activity,[한국경제신문] 한경잡앤조이 22기 대학생 기자단(~12/29),https://cf-cpi.campuspick.com/activity/1734101150949254_thumb.jpg,D-2,2766
Wevity Contest,"[아모레퍼시픽/동아제약/국내1위연구개발기업] 뷰티대기업 3곳에서 한번에 'X3배' 직무스펙 쌓고 바로 취업하기 프로젝트!(~12/29,일요일 저녁12시) SPECIAL",N/A,"D-3
마감임박",N/A
Wevity Contest,컴투스 글로벌 게임개발 공모전 컴:온 2024 SPECIAL,N/A,"D-4
마감임박",N/A
Wevity Contest,2025 제3회 ChunMan Art for Young 공모전 (천만 아트 포 영 2025 : 시각예술 전 분야) SPECIAL IDEA,N/A,"D-4
마감임박",N/A
Wevity Contest,[마켓크루1기] 뉴스 콘텐츠 크리에이터 마켓크루 모집 신규,N/A,"D-5
마감임박",N/A
